Unnamed: 0,id,tweet_id,username,followers_count,user_verified,text,created_at,like_count,retweet_count,reply_count,location,lang,generation,ass_hashtags,keyword_exists,prep_text,created_at.1,year,month,day,week,time,hour,minute,vader_polarity,bert_polarity
0,11870,1423726575871275009,chabiec2m,199,False,"This shouldn't discourage you from casting your vote on Thursday week, go vote for a candidate of your choice and make your vote count!! As @ZambiaElections always says ""your vote is your voice""!

#ZambiaDecides2021
#FollowZambiaElections2021 by visiting https://t.co/esD1e4vvTZ https://t.co/m6rOEH6Hwj",2021-08-06 21:24:01+02,2,0,0,Zambia,en,1,#zambiadecides2021 #followzambiaelections2021,True,discourage casting vote thursday week vote candidate choice make vote count always vote voice visiting,2021-08-06,2021,8,6,31,21:24:01,21,24,Neutral,Neutral
1,11872,1423725235577176072,chabiec2m,199,False,"Only a few more days left before #ZambiaDecides2021, remember to keep the best attitude to avoid getting in conflict with the law. Your vote counts!!

#FollowZambiaElections2021 by visiting https://t.co/esD1e4vvTZ
#YouthVote2021

@JubielZulu
@ChibweLumpa
@VusumuziS https://t.co/cq4dzueGav",2021-08-06 21:18:42+02,4,2,0,Zambia,en,1,#zambiadecides2021 #followzambiaelections2021 #youthvote2021,True,day left remember keep best attitude avoid getting conflict law vote count visiting,2021-08-06,2021,8,6,31,21:18:42,21,18,Neutral,Neutral
2,11874,1423702135787728905,stechwellgreen,86,False,"About to hand over this double storey office park. For high quality construction services give us a call/WhatsApp on this line +260975099633. #stechwellgreen
#zedtwitter
#ZedTwitterRadio 
#ZambiaDecides2021 https://t.co/TpHaMldRrN",2021-08-06 19:46:54+02,2,4,0,"Lusaka, Lusaka District, Lusaka Province, 10101, Zambia",en,1,#stechwellgreen #zedtwitter #zedtwitterradio #zambiadecides2021,True,hand double storey office park high quality construction service give u callwhatsapp line 260975099633,2021-08-06,2021,8,6,31,19:46:54,19,46,Neutral,Neutral
3,11876,1423685334542471170,Kaysibo1,1752,False,"Watch this video and learn more about your August 12 2021 Zambian Aspiring Presidential Candidates. Don't forget to subscribe to my YouTube channel

https://t.co/91y0JzIaWv

#Zambia #zambian #ZambiaDecides2021 #youthvote #Thezambianvote #retweet",2021-08-06 18:40:09+02,0,0,0,Zambia,en,1,#zambia #zambian #zambiadecides2021 #youthvote #thezambianvote #retweet,True,watch video learn august 12 2021 zambian aspiring presidential candidate forget subscribe youtube channel,2021-08-06,2021,8,6,31,18:40:09,18,40,Neutral,Neutral
4,11878,1423684924222083075,Anade_Situma,1228,False,"Hello Hon. @Dora_Siliya, I'm a Producer with @AJStream. On Monday we'll be hosting a conversation live on @AJEnglish about #ZambiaDecides2021. We'd like to invite you to join our panel. Can you DM me your contact details, so I can send your team more info?",2021-08-06 18:38:31+02,0,0,0,"Washington, District of Columbia, United States",en,1,#zambiadecides2021,True,hello hon producer monday hosting conversation live like invite join panel dm contact detail send team info,2021-08-06,2021,8,6,31,18:38:31,18,38,Positive,Neutral
5,11880,1423667828314578945,FEscrutinio,6595,False,"#Zambia 🇿🇲 - Who will you vote for?

#ZambiaDecides
#ZambiaDecides2021
#elections2021
#ZambiaVotes

@UPNDYouthLeague @PF_Zambia @EdgarCLungu @HHichilema @UPNDZM",2021-08-06 17:30:35+02,4,1,0,"Gualeguaychú, Distrito Costa Uruguay Sur, Departamento Gualeguaychú, Entre Ríos, Argentina",en,1,#zambia #zambiadecides #zambiadecides2021 #elections2021 #zambiavotes,True,vote,2021-08-06,2021,8,6,31,17:30:35,17,30,Neutral,Neutral
6,11882,1423666695860891651,2021Zambian,2714,False,"HH: ""We will not give up on you citizens and if it means losing our lives for the goodness of our Country, so be it."" #ZambiaDecides2021",2021-08-06 17:26:05+02,5,1,0,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,hh give citizen mean losing life goodness country,2021-08-06,2021,8,6,31,17:26:05,17,26,Neutral,Neutral
7,11884,1423656953151205376,MumbaMwa,11965,False,"We only have a few more sleeps till election day!!

Tomorrow on Election Conversations  on at 18:30 hours on  @phoenixfmzambia , we discuss Elections DOs and DON'Ts..🗳🇿🇲

#ZambiaVotes2021 
#ZambiaDecides2021 🗳🇿🇲 https://t.co/Q4qBNzmwft",2021-08-06 16:47:22+02,48,13,1,Zambia,en,1,#zambiavotes2021 #zambiadecides2021,True,sleep till election day tomorrow election conversation 1830 hour discus election donts,2021-08-06,2021,8,6,31,16:47:22,16,47,Neutral,Neutral
8,11888,1423649282930970624,2021Zambian,2714,False,"Like KKIA, FOUR TIMES too big for projected traffic. If Zambia Airways doesn't take off, more like SEVEN TIMES too big. Under the terms of the loans, China has control over what comes in and out of both for something like 15 years. #ZambiaDecides2021 https://t.co/GrXbK309tk",2021-08-06 16:16:53+02,0,0,0,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,like kkia four time big projected traffic zambia airway doe take like seven time big term loan china control come something like 15 year,2021-08-06,2021,8,6,31,16:16:53,16,16,Positive,Neutral
9,11890,1423645928368447491,IFESAfrica,1617,False,"#IFES is grateful for the support of @USAIDZambia that allows us to support @ZambiaElections as they work to equip electoral staff with leadership and conflict mitigation techniques in the lead up to the #zambiaelections2021 

#ZambiaDecides2021 #ZambiaVotes https://t.co/UjQpneAErN",2021-08-06 16:03:34+02,4,2,0,"Washington, District of Columbia, United States",en,1,#ifes #zambiaelections2021 #zambiadecides2021 #zambiavotes,True,grateful support allows u support work equip electoral staff leadership conflict mitigation technique lead,2021-08-06,2021,8,6,31,16:03:34,16,3,Positive,Positive
10,11892,1423640122600402949,2021Zambian,2714,False,Soldiers in Chiengi helped UPND running mate Mutale Nalumango to continue with her door to door campaigns after a disagreement with police. #ZambiaDecides2021,2021-08-06 15:40:29+02,13,3,2,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,soldier chiengi helped upnd running mate mutale nalumango continue door door campaign disagreement police,2021-08-06,2021,8,6,31,15:40:29,15,40,Neutral,Neutral
11,11894,1423638683580776460,africafoicentre,4286,True,"Citizens need relevant, timely and accurate information to decide. 

#ZambiaElections2021 #ZambiaDecides2021 #AccessToInfo https://t.co/ksZdglnOPi",2021-08-06 15:34:46+02,4,2,0,Africa,en,1,#zambiaelections2021 #zambiadecides2021 #accesstoinfo,True,citizen need relevant timely accurate information decide,2021-08-06,2021,8,6,31,15:34:46,15,34,Neutral,Neutral
12,11896,1423637062486532103,ItCardo,263,False,"Well it seems this is the year 😂
#ZedTwitter #ZambiaDecides2021 https://t.co/YSgAD0STp7",2021-08-06 15:28:20+02,0,0,0,"Kafue, Kafue District, Lusaka Province, Zambia",en,1,#zedtwitter #zambiadecides2021,True,well seems year,2021-08-06,2021,8,6,31,15:28:20,15,28,Positive,Neutral
13,11897,1423628801645424644,chabiec2m,199,False,"The Government should put in place a regulatory and institutional framework that promotes #AccessToInformation 
#YouthVote2021 
#ZambiaDecides2021 

@NEDemocracy @IFEX @AFEXafrica @chipenzimac 
@VusumuziS @africafoicentre @gmpressunion @Ngoni_Lady",2021-08-06 14:55:30+02,5,5,0,Zambia,en,1,#accesstoinformation #youthvote2021 #zambiadecides2021,True,government put place regulatory institutional framework promotes,2021-08-06,2021,8,6,31,14:55:30,14,55,Neutral,Neutral
14,11898,1423628704941547520,BusterEmil,2542,False,"6 days to go. Lungu has brought the people change, PF writes. Wonder what kind of change they refer to? #ZambiaDecides2021 https://t.co/YQ515pazIO",2021-08-06 14:55:07+02,3,0,0,"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark",en,1,#zambiadecides2021,True,6 day lungu brought people change pf writes wonder kind change refer,2021-08-06,2021,8,6,31,14:55:07,14,55,Neutral,Neutral
15,11899,1423627643124162560,2021Zambian,2714,False,"How to survive an Internet shutdown in 2021. 

Please share and follow guidance in the article where able. #ZambiaDecides2021 https://t.co/joPY3rRYnl.",2021-08-06 14:50:54+02,4,2,1,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,survive internet shutdown 2021 please share follow guidance article able,2021-08-06,2021,8,6,31,14:50:54,14,50,Positive,Neutral
16,11900,1423623024297787396,chabiec2m,199,False,"It's important for #ElectionObservers to publicly disclose their codes of conduct, conflicts or interests &amp; political affiliation, including details of financial or non financial assistance.
#ZambiaDecides2021 #YouthVote2021 
 @Panos_PSAf @gmpressunion @NEDemocracy
@VusumuziS",2021-08-06 14:32:33+02,2,3,1,Zambia,en,1,#electionobservers #zambiadecides2021 #youthvote2021,True,important publicly disclose code conduct conflict interest political affiliation including detail financial non financial assistance,2021-08-06,2021,8,6,31,14:32:33,14,32,Neutral,Neutral
17,11901,1423621897795874816,Ngoni_Lady,1354,False,"Law enforcement agencies should refrain from selective implementation of the law during the #Elections2021 to enhance voter confidence and trust.
#ZambiaDecides2021 @Panos_PSAf
@gmpressunion
@VusumuziS
@AgwangJulie
@namara284
@JoofMS
@NEDemocracy
@LmnJahateh
@chabiec2m",2021-08-06 14:28:04+02,11,8,0,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#elections2021 #zambiadecides2021,True,law enforcement agency refrain selective implementation law enhance voter confidence trust,2021-08-06,2021,8,6,31,14:28:04,14,28,Positive,Neutral
18,11902,1423620529303523334,chabiec2m,199,False,"Lack of an #ATI law has made most public institutions to be abusing public resources on projects that aren't priority to citizens.
#ZambiaElections2021
#ZambiaDecides2021 
#AccessToInfo

@Panos_PSAf @africafoicentre @gmpressunion  @Ngoni_Lady @namara284 @JoofMS @NEDemocracy",2021-08-06 14:22:38+02,1,2,0,Zambia,en,1,#ati #zambiaelections2021 #zambiadecides2021 #accesstoinfo,True,lack law made public institution abusing public resource project priority citizen,2021-08-06,2021,8,6,31,14:22:38,14,22,Negative,Negative
19,11904,1423620084447207424,2021Zambian,2714,False,"@IHSMarkit : ""PF to win elections due to support of state security forces increasing the likelihood of political violence. Collateral risks to property and passers-by likely as well as disruptions to logistics routes."" #ZambiaDecides2021",2021-08-06 14:20:52+02,0,0,0,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,pf win election due support state security force increasing likelihood political violence collateral risk property passerby likely well disruption logistics route,2021-08-06,2021,8,6,31,14:20:52,14,20,Neutral,Negative
20,11871,1423726422737162243,harare_1,3198,False,"Here's a photo of an armoured personnel carrier (one of two, plus a truck full of soldiers) going into a perfectly peaceful high density area at dusk on a Friday, 6 days before an election. 

#ZambiaDecides2021 https://t.co/WxiAtv6nGw",2021-08-06 21:23:25+02,0,0,0,Zimbabwe,en,1,#zambiadecides2021,True,photo armoured personnel carrier one two plus truck full soldier going perfectly peaceful high density area dusk friday 6 day election,2021-08-06,2021,8,6,31,21:23:25,21,23,Positive,Neutral
21,11873,1423723801376870405,2021Zambian,2714,False,"Since Lungu took office, which country have PF offended the most and why?

1) Botswana 
2) Germany
3) Malawi
4) Namibia 
5) Rwanda 
6) South Africa
7) UK 
8) USA

#ZambiaDecides2021",2021-08-06 21:13:00+02,3,0,3,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,since lungu took office country pf offended 1 botswana 2 germany 3 malawi 4 namibia 5 rwanda 6 south africa 7 uk 8 usa,2021-08-06,2021,8,6,31,21:13:00,21,13,Neutral,Negative
22,11875,1423686809033318401,ngamita,1598,False,Disappointing to see Zambia falling this low... #ZambiaDecides2021 https://t.co/gG4sQD1i12,2021-08-06 18:46:00+02,1,0,3,"Nanno, Ville d'Anaunia, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38093, Italia",en,1,#zambiadecides2021,True,disappointing see zambia falling low,2021-08-06,2021,8,6,31,18:46:00,18,46,Negative,Negative
